isin,symbol,fyers_symbol,effective_from,effective_to,index_name
INE002A01018,RELIANCE,NSE:RELIANCE-EQ,2010-01-01,,NIFTY 500
INE467B01029,TCS,NSE:TCS-EQ,2010-01-01,,NIFTY 500
